"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù",
"ÁÂµ¿","¿ùÆò±Õ","","41","39","49","56","61","43","37","29","39","32","46","42","41","51","44","63","45","40","35","23","22","25","39","33","41","41","44","35","43","28","25","27","22","24","30","27","26","29","30","35","31","26","17","29","24","28","27","24","29","32","54","33","35","25","19","21","19","23",
"¼­½Åµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34**","","","","40**","38","44","22","27","26","36","38","38","42","48","79","48","59","39","23","25","17","29",
"Àç¼Ûµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","33","28","23","15","28","21","26","27","29","33","33","55","33","32","22","14","16","14","20",
"¿ìÇöµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34*","29","18","23","20","27",
"´ëÀúµ¿","¿ùÆò±Õ","","53","49","56","55","57","42","35","25","38","33","52","49","50","54","43","62","44","47","46","37","29","38","56","51","60","56","56","44","52*","34**","25","30","24","27","34","39","34","36","31","32","26","22","14","25","23","31","32","37","37","39","56","36","34","28*","","","","",
"¹Ý¼Û·Î","¿ùÆò±Õ","","50","46","55","60","60","46","43","28","38","33","52","48","40","46","46","66","44","45","41","29","37","45","53","45","45","57","55","46","53","39","","","","23","31","30","28","31","29","32","30","28","19","33","23","27","29","28","32","32","53","34","34","28","21","21","17","23",
"³ì»êµ¿","¿ùÆò±Õ","","47","45","55","56","56","42","34","31","40","31","53","48","46","54","50","64","43","40","37","28","26","33","56","44","49","51","51","41","54*","39","32","36","30","33","41","42","38","42","40","42","37","31","24","37","30","36","37","40","45","44","72","44","40","31","23","21","17","24",
"¸íÁöµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22*","37","38","40","41","40","65","39","38","26","17","20","18","27",
"±èÇØ´ë·Î","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","25",
"±âÀåÀ¾","¿ùÆò±Õ","","37","35","46","51","57","42","35","28","38","31","43","32","30","41","33","57","39","36","32","21","22","25","38","30","36","41","43","34","41","27","23","26","22","27","30","26","25","28","29","34","30","26","17","30","21","25","25","26","31","31","55","32","32","25","17","21","19","20",
"³ëÇü·Î","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","32","37","44","48","44","31","20","28","30","33","29","27","34","35","80","35","41","26","20","21","25","33",
"¿ë¼ö¸®","¿ùÆò±Õ","","40","38","48","48","51","39","34","26","32","27","43","40","39","48","39","59","41","38","35","27","26","29","44","38","44","47","49","38","41","29","25","28","25","27","33","31","31","33","33","36","30","25","16","25","22","27","27","28","34","36","58","33","33","26","17","17","16","19",
"±¤¾Èµ¿","¿ùÆò±Õ","","33","31","43","44*","","50**","39","30","40","38","58","53","52","62","50","72","54","49","36","30","30","35","47","37","44","44","47","41","51","35","29","32","25","24","34","31","28","31","33","36","34","28","20","35","24","30","32","33","38","39","65","40","40","26","17","20","18","24",
"¸íÀåµ¿","¿ùÆò±Õ","","57","53","66","66","70","51","41","32","44","39","62","61","58","67","55","70","45","42","36","28","28","33","47","40","48","48","49","41","50","33","29","33","26","29","35","37","32","36","36","40","36","29","19","30","24","30","32","34","37","38","63","37","35","25","16","19","16","20",
"¼öÁ¤µ¿","¿ùÆò±Õ","","41","39","52","58","67","46","34**","27","36","27","45","39","35","41","37","60","48","43","38","29","21","24","37","28","38","37","40","32","41","31","27","28","22","22","29","28","26","29","34","39","36","33","24","39","27","31","31","33","38","39","68","43","45","31","23","26","18","23",
"´ë½Åµ¿","¿ùÆò±Õ","","42","38","49","52","57","41","36","27","37","28","47","44","44","51","40","62","42","40","33","28","23","31","47","41","51","50","50","39","47","32","29","31","25","28","38","37","36","37","35","40","37","30","22","31","27","32","33","35","38","39","65","40","40","29","18","22","19","25",
"¼öÃ¢µ¿","¿ùÆò±Õ","","55","45","52","56","59","41","35","25","37","31","58","49","50","51","47","55","42","39","28","22","22","31","60","50","60","54","55","40","48","29","23","24","20","26","40","40","35","37","39","38","40","36","22","24","24","32","40","38","38","40","55","41","39","33","18","21","18","26",
"ÀÌÇöµ¿","¿ùÆò±Õ","","54","48","56","60","61","43","37","28","44","38","60","52","51","54","50","64","47","44","31","26","31","39","67","53","62","56","61","44","51","35","28","28","25","30","47","47","39","42","45","42","41","34","23","27","27","36","42","36","38","38","59","44","42","37","23","26","22","28",
"³»´çµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74*","47","45","39","22","25","20","31",
"´ë¸íµ¿","¿ùÆò±Õ","","49","43","51","55","59","41","34","23","35","33","58","53","53","53","48","60","42","37","26","20*","23","33","60","50","59","55","54","39","45","30","22","23","21","26","44","45","39","39","39","39","39","34","20","23","24","34","42","41","43","43","62","43","43","33","17","20","18","28",
"³ë¿øµ¿","¿ùÆò±Õ","","51","47","56","54","58","41","37","26","38","33","59","53","54","56","48","59","45","40","30","24","28*","","0","46","61","56","59","46","52","36","29","29","27","31","43","42","38","38","39","40","41","42","28","31","30","36","44","35**","","","","","","","","","","",
"ÅÂÀüµ¿","¿ùÆò±Õ","","55","47","54","54","55","38","35","22","34","30","51","48","50","51","42","56","42","39","26","19","25","34","56","48","59","56","56","42","46","34","29","30","27","30","42","41","38","37","38","39","37","35","22","28","24","30","36","36","38","40","55","39","40","33","20","23","19","25",
"»ê°Ýµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","43","46","39","22","24","20","26",
"Ä§»êµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66*","42","43","36","22","24","21","25",
"½Å¾Ïµ¿","¿ùÆò±Õ","","43","37","44","41","45","36","36","22*","","","43*","40","42","44","39","54","41","36","27","22","24","33","54","44","50","50","50","38","42","29","24","24","21","26","38","41","37","37","38","39","36","38","24","28","28","34","42","44","43","44","60","49","44","36","20","18","16","26",
"¼­È£µ¿","¿ùÆò±Õ","","59","46","49","53","58","41","37","31","41","39","59","48","46","49","43","59","39","33","27","23","30","38","63","56","64","59","57","45","49","34","31","31","26","29","43","46","40","37","36","35","30","34","23","25**","0","0","38","39","41","43","57","46","40","34","18","19","16","27",
"¸¸ÃÌµ¿","¿ùÆò±Õ","","41","34","40","40","44","34","36","25**","","","50","44","44","46","39","55","40","35","24","19","23","33","58","52","60","61*","54","41","46","32","26","25","21","28","41","45","38","39","38","38","33","30","17","20","21","33","41","40","41","42","56","43","38","29","14","17","17","27",
"Áö»êµ¿","¿ùÆò±Õ","","51","38","46","47","50","37","29","22*","","","48","45","47","45*","","50**","39","33","24","18","22","29","55","46","57","55","52","35","38","28","20","21","18","25","36","39","37","36","34","34","34","28","18","22","21","30","38","36","37","36","52","39","35","28","14","18","15","23",
"½ÃÁöµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","52**","54","40","35","27","22","21","28","51","44","51","50","51","37","41","29","25","26","22","26","40","41","36","36","36","38","38","36","24","26","25","32","38","35","38","40","56","41","39","34","21","23","19","25",
"È£¸²µ¿","¿ùÆò±Õ","","42","34","39","44","48","36","32","22","31","28","45","40","40","43","37","53","37","34","29","22","23","30","36**","39","52","54","54","42","48","37","27","26","23","25","36","39","38","40","40","42","40","38","23","28*","0","0","37","35","39","38","54","41","38","35","21","23","19","27",
"ÁøÃµµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","55**","53","39","36","29","23","23","30","52","45","53","50","48","35","40","29","23*","","","25","38","38","35","37","36","36","35","34","22","26","26","31","37","37","39","40","51","40","39","33","18","20","17","26",
"º»µ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37**","42","39","35","22","24","25","39","45","44","46","45","60","43","41","34","19","21","19","30",
"À¯°¡À¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","41","39","36","23","27*","0","37**","40","42","45","45","62","43","41","39","19","20","19","28",
"´Ù»çÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","53*","55","41","47","36","29","30","31","32","42","40","37","39","39","39","41","40","20","22","22","28","34","33","37","41","57","44","43","38","23","24","18","26",
"ÇöÇ³¸é","¿ùÆò±Õ","","38","33","37","42","43","35","28","20","27","24","38","33","34","38","30","47","31","30","27","21","23","29","48","40","59","57","53","41","48","35","28","25","22","24","38","31**","","","","","","","","","","","","","","","","","","","","","","",
"È­¿øÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65*","39","37","31","14","17","14","23",
"½ÅÈï","¿ùÆò±Õ","","72","63","85","71","78","50","40","34","52","46","50","56","58","58","60","58","47","36","26","24","24","39","68","51","67","60","77","53","59","28","27","28","28","40","45","40","43","37","44","41","34","34","20","19","20","33","46","51","49","60","90","57","73","37","27","24","19","33",
"¿î¼­","¿ùÆò±Õ","","47","44","60","61","59","39","33","29","39","35","38","42","48","50","46","50","43","","28**","26","22","26","45","37","50","46","54","33","41","24","27","29","25","31","33","33","35","30","34","32","25","24","17","21","18","25","34","31","30","35","55","38","60","34","32","24","16","27",
"¿µÁ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35*","34","33","34","40","59","36","50","30","25","19","14","24",
"¼Û¸²","¿ùÆò±Õ","","50","44","58","52","57","34","38","25","36","32","39","44","50","49","50","45","39","34","30","29","25","37","64","52","71","64","74","47","58","32","33","35","33","37","46","45","50","43","46","42","34","35","26","29","22","36","43*","46","44","53","81","49","67","44","37","30","22","38",
"±¸¿ùµ¿","¿ùÆò±Õ","","50","47","65","61","68","44","34*","","30*","36","49","50","52","52","53","51","45","39","24","23","22","36","67","51","70","62","74","49","57","34","31","30","29","38","44","46","46","41","48","46","40","39","24","22","21","35","37","39","37","47","71","42","57","34","23","18","13","25",
"°íÀÜ","¿ùÆò±Õ","","47","41","54","49","54","35","31","23","35","32","41","43","61","64","50","49","43","36","27","36**","23","32","52","41*","","78**","64","40","46","24","27","28","27","34","39","36","40","35","39","35","30","30","26**","0","34**","35","42","41","37","47","72","43","59","38","31","25","19","30",
"³íÇö","¿ùÆò±Õ","","50","43","56","50","58","39","30*","29**","36","30","36","39","42","42","42","41","37","32*","32**","24","22","32","55","47","62","57","68","41","50","30","33","32","27","29","35","37","40","35","39","34","31","34","22","28","0","42*","39","40","38","49","74","44","61","40","33","20","13","23",
"¼­Ã¢","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42**","37","36","35","43","65","39","54","35","29","21","15","24",
"ºÎÆò","¿ùÆò±Õ","","45*","40","53","50","53","40","40**","25","31","26","34","38","40","40","41","43","35","30","22","22","20","30","54","43","57","52","64","41","51","28","31","29","26","33","41","44","45","37","41","38","32","34","25","27","23","37","43","42","41","50","74","44","64","40","29","22","15","28",
"»ï»ê","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","32","37","33","36","32","36","34","28","30","19","22","0","38*","34","33","32","41","62","39","59","36","27","22","16","30",
"¿µÈï","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","41","31","30","19*","21","21","31","38","34","37","47","70","43","59","33","24","21","16","27",
"¿¬Èñ","¿ùÆò±Õ","","48","42","58","53","61","41","43","29","39","33","41","46","46","49","49","44","38","32","24","24","22","27","46","40","57","50","59","37","46","25","29","29","24","29","34","36","40","35","38","38","27","29","19","23","17","27","37*","38","37","45","67","42","59","40*","28","23","16","26",
"¼®³²","¿ùÆò±Õ","","61","61","66","61","67","46","41","32","44","39","46","50","56","57","56","52","43","37","27","35**","26","31","50","39","53","48","62","43","48","29**","","33","29","37","44","42","45","39","45","39","34","36","22","25","20","28","33","32","31","40","60","38","51","35","29","21","14","25",
"°Ë´Ü","¿ùÆò±Õ","","53","46","62","56","62","39","42","29","37","31","41","48","44","47","47","45","37","33","26","29","25","37","61","53","72","61","74","45","56","32","37","33","29","42","49","45","48","40","47","43","34","37","25","29","22","35","43","41","39","48","76","44","59","44**","36","23","15","30",
"¿ø´ç","¿ùÆò±Õ","","58","40","64","68","74","48","30**","23","33","28","36","40","39","41","44","40","34","28","25","25","23","29","52","43","60","51","64","40","53","29","31","30","27","35","42","42","44","37","42","40","31","32","23*","27","23","37","44","44","41","49","73","43","61","39","31","24","17","30",
"Ã»¶ó","¿ùÆò±Õ","","","","","","","","","","","","","","","","53**","43","37","31","23","27","25","32","55","46","62","55","68","43","56","33","32","32","29","38","44","41","45","37","40","38","31","34","24*","27","20","35","42","45","40","47","68","40","56","31","24","22","17","30",
"°è»ê","¿ùÆò±Õ","","56","52","68","66","72","48","41**","","37*","34","44","48","46","48","56","54","49","42","25","24","35","43","57","41","60","51","69","46","59","29","30","28","26","35","39","41","39","36","42","45","36","33","18*","18","18*","31","40","39","36","47","74","44","62","33","22","19","12","25",
"¼ÛÇØ","¿ùÆò±Õ","","44","40","55","49","55","35","32","26","42","36","39","50","51","55","52","48","40","32","20","24","23","29","47","48","67","57","67","43","52","30","31","32","32","35","42","43","46","38","44","42","30","32**","0","0","0","40*","37","37","36","45","59","37","52","27","25","21","15","29",
"±æ»ó","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45*","41","39","42","36","40","32","25","26","19","22","18","30","37","40","36","43","61","35","49","30","25","19","14","27",
"µ¿Ãá","¿ùÆò±Õ","","48","43","54","55","53","41","35*","31**","37","31","38","40","42","43","42","40","36","36**","32**","25","21","31","56","43","58","54","64","40","47","28","31","32","29","35","39","40","41","36","40","36","31","33","23*","27","23","36","40","44","43","55","80","45","66","44","36","26","19","30",
"¼Ûµµ","¿ùÆò±Õ","","","","","","","","","","","","","","","","49**","43","37","31","24","26","25","33","58","45","59","53","66","42","47","29**","","26","26","34","40","38","41","35","39","34","29","29","19","21","18","29","33","32","30","38","60","41","60","36","32","23","17","30",
"¾Æ¾Ï","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","46","69","42","59","36","33*","24","17","30",
"¼þÀÇ","¿ùÆò±Õ","","56","55","71","65","76","49","37**","26","33","29","37","42","45","46","46","42","36**","32","25","25","24","32","57","46","61","57","67","41","48","28","29","29","26","34","45","44","48","41","44","40","32","32","21*","24","22","36","43","44","42","53","77","44","62","38","29","21","14","28",
"ÁÖ¾È","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","35","45","69","40","58","38","29","22","14","26",
"¼­¼®µ¿","¿ùÆò±Õ","","46","37","49","53","53","32","17","22","34","34","56","49","51","56","52","59","42","43","26","25","26","35","58","48","57","61","67","46","51","41","26","30","26","34","43","30","34","30","33","36","29","28","13","20","19","26","28","29","33","36","62","36","46","25","14","15","14","22",
"³ó¼ºµ¿","¿ùÆò±Õ","","45","35","50","51","53","31","19","17","29","28","48","42","45","50","48","59","43","41","26","24","25","35","60","47","55","60","68","47","51","40","30","31","27","35","43","34","35","32","34","35","27","27","15","20","18","29","32","33","35","38","58","36","45","28","14","14","12","20",
"À¯ÃÌµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","41","45","73","44","54","30","18","19","18","32",
"µÎ¾Ïµ¿","¿ùÆò±Õ","","51","30","45","49","49","29","15","27","41","37","49","44","44","50","49","58","41","44","28","25","26","34","59","47","55","58","66","44","51","41","29","29","25","34","43","32","38","34","36","39","34","29","13","20","19","28","29","31","40","44","70","42","53","31","16","16","14","22",
"°Ç±¹µ¿","¿ùÆò±Õ","","53","32","45","52","57","40","33","26","35","35","51","43","43","49","44","51","37","39","26","25","26","24**","67**","33","50","56","68","47","55","46","34","36","30","39","41","30","34","30","32","35","29","33","16","21*","21","31","29","30","33","36","60","36","47","27","15","14","13","23",
"ÀÏ°îµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","29","31","53","32","40","24","14","15","13","19",
"¼ÛÁ¤1µ¿","¿ùÆò±Õ","","35","36","48","55","63","36","27","25","31","30","43","38","38","45","51","56","38","37","24","21","21","30","50","36","42","47","51","37","45","33","25","32","25","32","42","31","36","32","37","41","31","33","16","26","24","35","38**","","","","","","","","","","","",
"¿À¼±µ¿","¿ùÆò±Õ","","54","40","54","59","62","40","28","26","34","34","49","42","42","47","43","51","38","38","24","23","25","37","59","43","51","53","56","36","44","35","24","27","24","32","37","32","36","31","34","36","29","29","15","22","23","34","35","35","38","40","67","42","51","30","17","22","21","36",
"Æòµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","40","37","42","17","24**","25","37","38","38","42","45","75","45","55","32","20","18","17","28",
"¿ì»êµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33*","36","39","42","70","40","52","29","17","18","17","28",
"ÁÖ¿ùµ¿","¿ùÆò±Õ","","43","38","51","55","58","38","28","23","33","33","56","49","50","55","51","60","43","44","29","27","28","37","63","50","58","61","68","47","54","45","32","35","32","38","48","41","42","37","41","44","34","32","17","26","24","35","36","37","41","45","71","43","54","32","18","19","16","26",
"³ë´ëµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","31","28","29","14","20","19","27","27","29","34","36","60","36","47","25","14","15","13","20",
"À¾³»µ¿","¿ùÆò±Õ","","47","45","54","59","64","40","31","26","42","39","54","42","57","68","61","72","52","43","35","28","22","37","77","60","77","68","75","45","50","32","26","25","22","31","44","42","42","39","43","43","34","42","20","23","23","40","47","46","44","45","67","49","69","39","24","26","20","36",
"¹®Æòµ¿","¿ùÆò±Õ","","64","56","67","64","65","45","32","24","45","44","66","59","70","63","56","64","52","41","24","21","27","42","79","65","80","75","78","46","51","32","23","24","23","36","49","46","47","41","44","45","35","36","18","25","27*","37","39","46","45","45","65","43","58","33","18","25**","16","29",
"¹®Ã¢µ¿","¿ùÆò±Õ","","57","45","47","54","60","40","33","25","33","33","48","46","52","52","45","54","41","31","22","19","19","27","59","48","60","58","60","36","45","31","27","29","21","26","40","37","39","37","37","39","31","34","16","21","21","29","33","35","39","38","62","40","58","30","10","16","16","23",
"»ó´ëµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","42","61","57","64","40","49","32","23","29","25","35","50","49","45","40","44","47","32","34","14","17","21","38","41","43","40","42","63","40","53","30","15","13","18","28",
"±¸¼ºµ¿","¿ùÆò±Õ","","54","43","52","63","68","46","31","24","40","36","47","41","46","45","46","48","38","33","19","16","20","25","53","49","64","61","70","42","45","26","18","19*","18","27","38","38","39","38","39","41","32","32","16","15","17*","28","32","37","37","41","61","40","54","30","15","15","13","22",
"³ëÀºµ¿","¿ùÆò±Õ","","52","50","61","62","67","46","33","24","35","34","52","49","54","53","50","57","44","38","22","22","23","33","67","65","81","72","77","43","49","27","17","23","23","25","46","46","45","43","40","40","33","33","11","16","18","34","37","39","40","40","64","42","56","31","17","22**","14","25",
"°üÆòµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","36","41","62","37","52","28","13","18","19","31",
"¼º³²µ¿","¿ùÆò±Õ","","48","46","52","53","54","42","35","23","40","39","57","59","63","62","62","69","61","40","26","23","23","30","57","56","70","66","70","40","46","32","24","25","22","26","40","36","38","36","38","39","33","34","14","19","19","31","35","34","37","40","59","36","52","28","13","19**","14","28",
"´ë¼ºµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","42","58","55","59","36","36","26","20","21","21","25","38","37","39","36","38","38","30","33","16","19","22","35","44","32","37","50","73","41","51","30","18","18","12","18",
"Á¤¸²µ¿","¿ùÆò±Õ","","45","41","49","52","59","39","33","25","32","31","45","47","53","52","46","55","43","39","28","24","20","27","48","38","52","53","60","35","44","32","27","29","22","26","40","37","39","37","37","37","30","34","16","21","20","28","32","33","38","40","58","39","55","29","14","12","11","25",
"µÐ»êµ¿","¿ùÆò±Õ","","39","39","49","58","66","42","30*","19","30","27","44","48","55","55","51","58","47","42","32","20","17","24","62","46","59","55","63","36","48","31","26","29","22","31","44","37","38","37","37","38","32","34","17","20","20","30","34","33","40","41","60","39","60","32","18","19","14","26",
"¼º³²µ¿","¿ùÆò±Õ","","42","38","50","51","59","47","46","27","30","29","43","46**","45","48","42","66","51","51*","","24","24","28","43","35","45","47","49","42","48","36","30","32","23","26","34","34","30","33","35","37","37","35","22","29","28","33","36","33","37","39","52","37","35","30","20","20","18","23",
"¾à»çµ¿","¿ùÆò±Õ","","","","","","","","","","","23","40","33","35","41","34","59","39","41","38","17","20","25","42","28","39","40","43","35","44","31","25","28","23","22","30","28","27","28","32","34","33","30","17","25","21","28","29","27","31","33","48","34","33","26","16","19","14","20",
"ºÎ°îµ¿","¿ùÆò±Õ","","41","39","52","55","64","46","39","29","41","30","46","39","39","47","41","69","46","42*","","28","29","35","52","37","47","50","56","48","57","42","34","33","27","31","37","34","32","38","42","44","46","46","31","35","32","38","38","33","37","40","65","48","44","40","26","26","22","26",
"¿©Ãµµ¿","¿ùÆò±Õ","","45","39","55","59","67","43","39","25","40","31","52","41","42","50","46","72","51","49","43","24","30","38","57","41","54","55","57","51","63","34","31","28","24","31","41","38","33","37","40","41","38","34","19","31","31","37","37","34","35","37","58","42","39","31","19","22","20","27",
"¾ßÀ½µ¿","¿ùÆò±Õ","","43","39","56","60","72","52","46","31","45","34","40","37","39","46","43","66","49","42","40","25","29","33","42","36","43","43","45","37","46","34","26","28","23","22","28","30","27","28","31","32","33","30","21","25","22","27","30","27","30","32","54","36","35","28","16","18","16","20",
"½ÅÁ¤µ¿","¿ùÆò±Õ","","32","29","39","43","50","35","32","22","28","21","36","29","30","35","28","50","34","33","31","20","27","32","48","28","37","39","41","34","40","28","24","27","20","19","25","25","23","27","30","33","32","30","17","25","23","26","28","28","31","32","52","35","34","27","17","21","15","20",
"¹«°Åµ¿","¿ùÆò±Õ","","40","36","45","46","53","37","32","22","32","25","45","39","41","47","36","64","47","45","47","31","29","30","46","36","44","46","48","40","47","36","31","35","28","23","27","34","28","30","31","38","37**","25*","18","26","24","29","30","30","34","36","50","33","29","25","14","17","14","19",
"»ï»êµ¿","¿ùÆò±Õ","","39","35","45","49","56","36","34","21","28","26","43","35","37","43","38","60","42","42","39","24","26","30","46","34","44","44","46","40","47","34","25","29","25","27","33","29","27","31","33","35","32","32","20","29","25","31","33","31","35","36","57","38","","28","18","19","14","20",
"´ö½Å¸®","¿ùÆò±Õ","","40","36","46","44","53","38","36","24","34","27","43","40","40","48","37","59","40","36","42","34","25","30","44","36","42","43","45","37","45","32","29","31","28","25","29","28","26","28","31","34","35","31","23","30","29**","28","28","27","30","33","54","34","33","28","19","21","17","21",
"¿õÃÌ¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","32","34","29","21","29","26","30","31","33","34","36","56","35","34","27","17","19","14","20",
"»ï³²À¾","¿ùÆò±Õ","","41","37","51","52","58","43","40","28","31","21","42","37","39","46","37","59","42","36","33","20","22","25","44","35","44","47","48","38","43","30","23","25","24","32","41","41","37","32","34","35","33","28","18","21","20","26","29","30","33","31","53","37","33","26","15","17","19","23",
"È­»ê¸®","¿ùÆò±Õ","","43","39","49","58","89","61","56","41","48","35","55","46","47","55","50","75","58","52","51","37","32","36","53","42","51","51","59","48","61","40","41","39","34","34","41","42","34","35","39","41","41","40","27","40","30","33","33","32","39","37","54","39","39","27","16","21","14","22",
"»ó³²¸®","¿ùÆò±Õ","","52","51","67","76","65","44","50","36","38","27","37","29**","","48","39","62","43","40","37","22","24","30","45","35","45","48","49","40","46","33","27","27","24","27","33","34","30","33","36","38","37","35","22","26","25","31","31","31","35","37","55","38","32","27","16","17","14","19",
"¹ü¼­À¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","26","26","27","30","31","49","34","31","26","14","17","14","17",
"È¿¹®µ¿","¿ùÆò±Õ","","46","44","57","57","71","53","38**","27","40","36","63","35**","","52","43","65","47","47","43","26","28","35","53","39","49","48","51","43","54","37","36","33","28","32","39","37","33","34","37","38","38","37","22","35","30","33","36","34","37","39","59","42","41","32","21","24","19","27",
"³ó¼Òµ¿","¿ùÆò±Õ","","43","36","48","59","68","39","43","28","40","35","55","45","46","53","43","66","45","39","36","22","24","31","49","38","51","50","49","39","44","29","23","27","27","31","43","41","37","37","37","37","31","27","14","19","18**","27","33","35","39","39","55","36","32","23","15","18","15","24",
"´ë¼Ûµ¿","¿ùÆò±Õ","","44","42","57","59","67","44","41","21","32","28","46","40","43","51","46","65","48","45","37","23","25","29","44","34","45","43","46","37","45","30","31","32","28","27","31","27","27","28","30","33*","","22","14","23","23","26","28","28","32","33","53","35","35","24","12","17","14","18",
"ÀüÇÏµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","32","21","23","25","42","29","40","41","46","37","50","32","32","31","22","25","31","28","26","27","32","36","36","32","18","29","26","29","29","27","31","35","57","38","39","27","18","22","20","23",
"½ÅÈïµ¿","¿ùÆò±Õ","","55","50","60","59","65","46","37","30","42","42","54","51","56","53","49","55","47","41","30","28","26","35","63","58","74","68","75","44","54","38","23","28","23","35","47","50","48","44","53","49","39","39","19","23","22","37","42","46","47","50","69","43","61","35","24","24","19","33",
"¾Æ¸§µ¿","¿ùÆò±Õ","","50","44","54","57","62","42","34","27","37","35","47","43","50","48","44","54","43","38","29","27","25","32","56","55","69","64","68","40","55","37","25","31","29","34","45","44","48","46","50","45","37","41","17","21","20","31","37","41","45","46","69","45","71","34","22","23","18","29",
