"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù",
"µ¿´ë¹®±¸","¿ùÆò±Õ","","58","50","64","51","56","34","28","22","35","31","42","58","55","50","49","46","37","30","21","17","15","24","48","40","61","54","63","33","42","22","22","21","16*","43**","42","43","39","39","40","39","31","34","20","23","19","30","38","38","35","47","65","41","63","35","24","21","14","27",
"¸»µµ","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51*","54","98","45","65","29","20","22","24","32",
"ÆÄÁÖ","¿ùÆò±Õ","","","","","","","","30","19","37","41","53","62","60","65","61","56","41","32","20","21","22","35","58","51","80","62","73","46","56","28","26","24","22","37","44","49","49","42","53","54","35","37","20","23*","20","41","50","53","50","61","73","47","62","33","20","18","13","32",
"½ÅÃÌ·Î","¿ùÆò±Õ","","55","52","67","63","71","48","39","28","46","44","59","67","67","68","64","66","57","58**","36*","28","28*","36**","52","41","41","51","74","44","55","32","33","31","26","37","47","47","47","45","48","46","38","42","25","27","24","39","48","46","40","52","71","44","63","38","28","25","17","30",
"ÅÂÇÏ¸®","¿ùÆò±Õ","","46","43","54","53*","53**","33","30","23","33","31","48*","44","48*","57","50","71","48","34","26*","17*","20","25","37","27","42*","45","51","40","42*","21","26","","","","","17**","17","21","27","29","28","21","13","19","17","22","24","22","22","30","43","32","33","20","10","15","13","16",
"°üÀÎ¸é","¿ùÆò±Õ","","54","45","53","59","62","34","32","23","33","28","42","47","49","50","51","52","39","32","22","23","23","25","44","40","65","52","64","39","49","29","30","31","24","27","40","42","38","36","42","44","31","34","17","16","16","29","36","40","37","46","62","38","51","28","20","20","17*","",
"¿µµîÆ÷·Î","¿ùÆò±Õ","","67","60","81","71","80","54","46","30","49","42","58","64","65","65","72","66","53","55**","35**","27","25**","35**","51","39","39","54","71","45","58","33","35","33","27","38","46","48","48","47","50","46","39","39","24","26","20","37","46","45","40","50","71","44","61","36","27","24","17","29",
"ÀºÆò±¸","¿ùÆò±Õ","","53","43","61","60","72","45","33","19","29","25","39","50","51","55","53","51","47","36","23","24","22","29","54","42","64","57","70","44","57","31","26*","26","22","29","37","40","39","38","46","47","37","37","19","21","18","32","38","39","35","46","66","42","59","31","21","19","13","25",
"°í»ê¸®","¿ùÆò±Õ","","","","46","57","44","27","23*","24","30*","30","43","37","36*","38","43","61","38*","","29*","24*","","","","","37","46","56","39","44","29","22","33","34*","","","","","","","","","","","","","","","","","","","","","","","","","",
"¿¬Ãµ(DMZ)","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","45","56","73","49","64","36","24","24","17","30",
"µµ»ê´ë·Î","¿ùÆò±Õ","","55","49","63","62","71","52","44","31","48","41","54","59","60","61","63","64","53","47","27","25","25","36","63","51","51","62","75","50","64","34","24**","28","26","33*","46**","42","41","40","46","47","38","38","21","20","22","41","49","47","44","55","80","52","72","29","20","21","14","30",
"°í»ê¸®","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","50","35","32","36","34","38","31","21","18","30","25*","34","30","26","34","29","47","40","45","22","17","17","17*","26",
"¹æ»ê¸é","¿ùÆò±Õ","","42","37","54","43","45","26","23","16","22","19","29","32","32","34","33","37","28","23","18","14","15","17","26","23","41**","","","","30","17","27","25","12","18","27","28","24","28","30","34","22","26","13","14","13","21","23","28","30","34","44","32","33","16","13","16","14","19",
